Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2534_1156,13,3.225,5.2697672843933105,2.570573091506958,24.6225,9.838156157985582,6.929302424936876,0.44118875,0.5528567,0.39965737,,0.89718944,0.99305373,0.92293406,
2534_1156,14,7.08,4.492938041687012,2.296510696411133,13.5925,3.731469560419349,3.182683326638503,0.8109485,0.8687178,0.71117866,,0.96285427,0.99332774,0.92974555,
2534_1156,20,5.52,4.8962860107421875,2.349958658218384,73.7875,11.556971031678808,7.540179691613041,,,,,,,,
2534_1156,21,5.9425,5.276398658752441,2.4315106868743896,68.845,13.759169148086281,8.708597428792874,0.18769851,0.30377716,0.108473666,,0.7556224,0.98579085,0.7002449,
2534_1156,22,0.145,4.241379261016846,2.548226833343506,82.77250000000001,17.208613972031774,10.22198581630146,0.12782063,0.22001302,0.054928917,,0.77894235,0.9966954,0.756835,
2534_1156,23,0.0,0.0,0.0,73.235,14.063221137434287,9.62629523719445,0.07851732,0.1908786,0.12581055,,0.7456963,0.9952723,0.6930854,
2534_1156,24,0.0,0.0,0.0,57.8025,16.11712296180961,9.843784004029589,0.22915661,0.3264152,0.27911168,,0.83271456,0.99867576,0.67677784,
2534_1156,30,0.0,0.0,0.0,33.77,13.383328397986379,6.96567754937632,,,,,,,,
2534_1156,31,0.0,0.0,0.0,71.9925,13.094697364308782,7.098273256225159,0.24925525,0.28737715,0.15375212,,0.8871756,0.9999876,0.9186,
2534_1156,32,0.5425,1.3870967626571655,0.5408811569213867,27.4425,14.923476359661109,8.307724448909267,0.58012587,0.68448853,0.60494083,,0.93559563,0.9998267,0.9576496,
2534_1156,33,4.1125,5.503951549530029,3.2585842609405518,20.615,9.99114722289595,7.729371972697399,0.7540539,0.7807851,0.5971997,,0.94473624,0.9943067,0.9585414,
2534_1156,34,0.0,0.0,0.0,41.7525,9.314711693910544,7.836176163605705,0.60388815,0.6273099,0.541813,,0.8521323,0.9998144,0.98341626,
2534_1156,40,0.5575,5.605381011962891,1.962968349456787,30.1875,9.045300207039338,5.758955368715861,,,,,,,,
2534_1156,41,0.0,0.0,0.0,39.6175,14.63980564144633,8.991255964918283,0.519512,0.62183106,0.4479404,,0.88429743,0.99965346,0.94032323,
